Foxa.a Foxd Foxtun2 Hes.a Prdm1-r Sox1/2/3 Tbx6-r.a Tbx6-r.b Tfap2-r.b Admp CA-Raf Efna.d Fgf9/16/20 Gdf1/3-r β-catenin Macho-1 Hes.b
0 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0
0 0 0 1 0 1 0 0 1 1 0 1 0 1 0 0 0
1 1 1 1 0 1 0 0 0 1 0 0 0 1 1 0 0
1 1 1 1 0 1 0 0 0 1 0 0 0 1 0 0 0
1 0 0 1 1 1 0 0 1 1 0 0 0 1 0 0 0
1 0 0 1 1 1 0 0 1 1 0 1 0 1 0 0 0
1 1 1 1 0 0 1 1 0 1 0 0 0 1 1 0 0
1 1 1 1 0 0 1 1 0 1 0 0 0 1 0 0 0
0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0
0 0 0 1 0 1 0 0 1 1 0 0 0 1 0 0 0
0 0 0 1 0 1 0 0 1 1 0 1 0 1 0 0 0
1 1 1 1 0 1 0 0 0 1 0 0 1 0 1 0 1
1 1 1 1 0 1 0 0 0 1 0 0 1 0 0 0 1
1 0 0 1 1 1 0 0 1 1 0 0 1 0 0 0 0
1 0 0 1 1 1 0 0 1 1 0 1 1 0 0 0 0
1 1 1 1 0 0 1 1 0 1 0 0 1 0 1 0 1
1 1 1 1 0 0 1 1 0 1 0 0 1 0 0 0 1
0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 1 1
0 0 0 1 0 1 0 0 1 1 0 0 1 0 0 0 0
0 0 0 1 0 1 0 0 1 1 0 1 1 0 0 0 0
1 1 1 1 0 1 0 0 0 0 0 0 1 1 1 0 1
1 1 1 1 0 1 0 0 0 0 0 0 1 1 0 0 1
1 0 0 1 1 1 0 0 1 0 0 0 1 1 0 0 0
1 0 0 1 1 1 0 0 1 0 0 1 1 1 0 0 0
1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 0 1
1 1 1 1 0 0 0 0 0 0 0 0 1 1 0 0 1
0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 1
0 0 0 1 0 1 0 0 1 0 0 0 1 1 0 0 0
0 0 0 1 0 1 0 0 1 0 0 1 1 1 0 0 0
1 1 1 0 0 0 0 0 0 1 0 0 1 1 1 0 1
1 1 1 0 0 0 0 0 0 1 0 0 1 1 0 0 1
1 0 0 0 1 0 0 0 1 1 0 0 1 1 0 0 0
1 0 0 0 1 0 0 0 1 1 0 1 1 1 0 0 0
1 1 1 0 0 0 1 1 0 1 0 0 1 1 1 0 1
1 1 1 0 0 0 1 1 0 1 0 0 1 1 0 0 1
0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 1
0 0 0 0 0 0 0 0 1 1 0 0 1 1 0 0 1
0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0
